collect_time,GDY_1,GDY_2,GDY_3,GDY_4,GDY_5,GDY_6,GDY_7,GDY_8,GDY_9,GDY_10,GDY_11,GDY_12,GDY_13,GDY_14,GDY_15,GDY_16,GDY_17,GDY_18,GDY_19,GDY_20,GDY_21,GDY_22,GDY_24,GDY_26,GDY_27,GDY_28,GDY_30,GDY_31,GDY_32,GDY_34,GDY_35,GDY_36,GDY_37,GDY_38,GDY_39,GDY_40
2023-11-20 15:20:00,61.698071,-7.034047,37.953086,66.146899,8.158754,86.11761,74.293741,5.895463,84.285421,79.039141,28.859142,40.001274,53.513423,21.63328,41.647514,50.657501,-25.607353,45.435764,-18.798369,,22.025588,19.238348,69.503628,55.745098,4.817685,50.336308,50.747902,51.974241,39.825403,-14.805463,26.643599,50.937639,43.3411,31.038844,-12.018164,16.820376
2023-11-20 15:30:00,61.673598,-7.034047,37.937009,66.146899,8.158754,86.11761,74.293741,5.81399,84.248683,79.031171,28.859142,40.001274,53.513423,21.601078,41.655507,50.617311,-25.615447,45.411211,-18.798369,,22.033521,19.21411,69.514546,55.753195,4.825764,50.339989,50.7724,52.006855,40.018417,-14.813586,26.622999,50.945691,43.357411,31.03081,-12.018164,16.857089
2023-11-20 15:40:00,61.673598,-7.034047,37.928971,66.130925,8.118223,86.109463,74.285742,5.805842,84.285421,79.01523,28.859142,39.993161,53.505204,21.601078,41.647514,50.609272,-25.615447,45.411211,-18.806531,,22.033521,19.165634,69.522425,55.728902,4.841923,50.401058,50.813229,52.13731,40.275769,-14.821708,26.651662,50.945691,43.328656,31.03081,-12.018164,16.820376
2023-11-20 15:50:00,61.673598,-7.034047,37.928971,66.146899,8.126329,86.133905,74.309739,5.871021,84.264821,79.023201,28.883658,39.993161,53.505204,21.601078,41.647514,50.609272,-25.607353,45.419395,-18.806531,,22.041454,19.141396,69.577582,55.793685,4.858082,50.425339,50.862224,52.251459,40.259684,-14.813586,26.639125,50.977901,43.349256,31.038844,-12.034627,16.828433
2023-11-20 16:00:00,61.673598,-7.042151,37.928971,66.138912,8.134435,86.109463,74.357733,5.928052,84.317697,79.063051,28.867314,39.985049,53.521643,21.64133,41.647514,50.625349,-25.59926,45.403026,-18.790208,,22.041454,19.141396,69.624859,55.69651,4.898478,50.445208,50.894887,52.316687,40.340107,-14.805463,26.675851,51.002059,43.373722,31.038844,-12.034627,16.828433
2023-11-20 16:10:00,61.681756,-7.042151,37.928971,66.154885,8.126329,86.150199,74.38173,5.919904,84.297097,79.023201,28.867314,39.993161,53.529862,21.617179,41.655507,50.633387,-25.591166,45.403026,-18.806531,,22.041454,19.141396,69.672136,55.712706,4.930795,50.461395,50.935717,52.373761,40.283811,-14.813586,26.708102,51.026216,43.373722,31.038844,-12.026395,16.820376
2023-11-20 16:20:00,61.673598,-7.034047,37.920933,66.146899,8.085799,86.093168,74.437723,5.960641,84.333835,79.023201,28.89183,39.993161,53.529862,21.625229,41.655507,50.641425,-25.583072,45.403026,-18.790208,,22.049387,19.133317,69.703654,55.785587,4.946954,50.498183,50.960214,52.393929,40.275769,-14.813586,26.691976,51.066479,43.381878,31.038844,-12.009932,16.868716
2023-11-20 16:30:00,61.673598,-7.034047,37.920933,66.146899,8.102011,86.125757,74.437723,5.952494,84.333835,79.023201,28.875486,39.985049,53.546301,21.64938,41.647514,50.633387,-25.574978,45.411211,-18.798369,,22.049387,19.133317,69.711533,55.793685,4.971192,50.49377,50.976546,52.447143,40.299895,-14.821708,26.671376,51.074532,43.398189,31.038844,-12.018164,16.868716
2023-11-20 16:40:00,61.673598,-7.034047,37.928971,66.138912,8.102011,86.133905,74.421725,5.936199,84.297097,79.031171,28.875486,39.993161,53.546301,21.63328,41.655507,50.649463,-25.558791,45.411211,-18.790208,,22.05732,19.141396,69.711533,55.748791,4.979271,50.509958,50.992877,52.46345,40.348149,-14.829831,26.671376,51.042322,43.381878,31.046878,-12.026395,16.881259
2023-11-20 16:50:00,61.681756,-7.034047,37.928971,66.138912,8.077693,86.170799,74.397728,5.928052,84.317697,79.00726,28.883658,39.985049,53.55452,21.617179,41.671493,50.649463,-25.53451,45.411211,-18.782046,,22.060519,19.133317,69.735172,55.785587,4.987351,50.522464,51.001043,52.479757,40.340107,-14.829831,26.647188,51.010111,43.381878,31.038844,-12.018164,16.876772
