collect_time,DD,FI,TI,BFO,BTO,TFO,TTO
2024/2/23 15:10,-0.001523972,-0.000362,0.000560267,0.156688109,1.016105652,0.137080118,1.028778076
2024/2/23 15:20,-0.00605011,-0.000359286,0.000502222,0.153144032,1.016601563,0.13556695,1.029174805
2024/2/23 15:30,0.004283905,-0.0002855,0.000396267,0.148130149,1.017433167,0.134262055,1.027427673
2024/2/23 15:40,-6.10E-05,-0.000493786,0.000426333,0.148037657,1.012008667,0.133115873,1.029296875
2024/2/23 15:50,-0.002487183,-0.000533238,0.000516667,0.153016508,1.010925293,0.134932518,1.029590607
2024/2/23 16:00,0.009613037,-0.000297381,0.000275556,0.142318845,1.018417358,0.132675081,1.028823853
2024/2/23 16:10,-0.005933762,-0.000366429,0.000230333,0.14221181,1.011756897,0.134150088,1.024581909
2024/2/23 16:20,0.002380371,-0.000414643,0.000281,0.1431849,1.009040833,0.133350432,1.023551941
2024/2/23 16:30,-0.006305695,-0.000554286,0.000421,0.148984551,1.005023956,0.134248674,1.024421692
2024/2/23 16:40,0.004560471,-0.000476857,0.000401333,0.151436806,1.006454468,0.137389898,1.023147583
2024/2/23 16:50,-0.002195358,-0.000579643,0.000364,0.150596499,0.997886658,0.137855679,1.018169403
2024/2/23 17:00,-0.003946304,-0.000731714,0.000367,0.148974538,0.995132446,0.136130229,1.020744324
2024/2/23 17:10,-0.011421204,-0.000454571,0.000355733,0.148245782,1.007698059,0.135794729,1.023609161
2024/2/23 17:20,0.007223129,-0.000558286,0.0003456,0.148885235,1.007663727,0.136789888,1.027206421
2024/2/23 17:30,-0.0039711,-0.000645,0.000581667,0.155147851,1.005809784,0.134790897,1.028385162
2024/2/23 17:40,-0.019569397,-0.000276548,0.000322044,0.147414535,1.017597198,0.136142328,1.027275085
2024/2/23 17:50,-5.53E-05,-0.000237857,0.000487667,0.151955634,1.018241882,0.134888321,1.026569366
2024/2/23 18:00,0.009681702,-0.00078,0.000369333,0.149620503,0.997261047,0.136693776,1.024562836
