collect_time,GDY_2,GDY_3,GDY_4,GDY_5,GDY_6,GDY_7,GDY_8,GDY_9,GDY_10,GDY_11,GDY_12,GDY_13,GDY_14,GDY_15,GDY_16,GDY_17,GDY_18,GDY_19,GDY_20,GDY_21,GDY_22,GDY_24,GDY_26,GDY_27,GDY_28,GDY_30,GDY_31,GDY_32,GDY_34,GDY_35,GDY_36,GDY_37,GDY_38,GDY_39,GDY_40
2024-02-22 20:10:00,-7.27063,58.916614,95.640823,20.288374,112.98516,82.907114,13.526506,100.439869,109.621901,34.53701,57.645553,72.209262,58.669022,77.109755,93.342238,-28.677633,68.336394,-19.592129,40.754029,74.12126,42.479276,69.706744,87.48003,7.549509,83.253746,92.071337,79.843968,80.841486,-12.891663,39.12333,43.348164,52.412792,34.030582,-14.237797,18.37555
2024-02-22 20:20:00,-7.27063,58.916614,95.632836,20.288374,112.993307,82.907114,13.518359,100.4112,109.621901,34.553354,57.63744,72.209262,58.685123,77.133734,93.342238,-28.669539,68.336394,-19.592129,40.762077,74.129193,42.487356,69.722503,87.455736,7.565667,83.253746,92.030508,79.843968,80.849529,-12.891663,39.131393,43.376816,52.412792,34.022548,-14.246029,18.388094
2024-02-22 20:30:00,-7.27063,58.93269,95.632836,20.29648,112.968865,82.915113,13.534653,100.4112,109.637841,34.561526,57.645553,72.217482,58.677073,77.117748,93.358314,-28.661445,68.373363,-19.592129,40.770125,74.113327,42.495435,69.738262,87.5934,7.565667,83.26184,92.030508,79.860275,80.857571,-12.891663,39.131393,43.376816,52.412792,34.030582,-14.246029,18.367494
2024-02-22 20:40:00,-7.278734,58.93269,95.640823,20.288374,112.993307,82.931111,13.518359,100.427338,109.621901,34.553354,57.66989,72.225701,58.685123,77.117748,93.382429,-28.661445,68.344579,-19.592129,40.762077,74.137126,42.487356,69.746141,87.463834,7.573747,83.26184,92.063172,79.868429,80.865613,-12.899786,39.131393,43.376816,52.412792,34.022548,-14.237797,18.359437
2024-02-22 20:50:00,-7.278734,58.948766,95.64881,20.288374,112.960718,82.931111,13.542801,100.403131,109.637841,34.545182,57.661777,72.225701,58.677073,77.149719,93.390467,-28.653352,68.356994,-19.592129,40.770125,74.137126,42.495435,69.7619,87.50063,7.581826,83.26184,92.04684,79.876582,80.873655,-12.891663,39.139456,43.356216,52.404637,34.030582,-14.246029,18.359437
2024-02-22 21:00:00,-7.278734,58.948766,95.64881,20.304586,112.977013,82.931111,13.526506,100.427338,109.661752,34.561526,57.66989,72.233921,58.701224,77.141726,93.406543,-28.645258,68.352763,-19.592129,40.770125,74.160925,42.503514,69.76978,87.504324,7.561226,83.269934,92.063172,79.876582,80.873655,-12.899786,39.12333,43.376816,52.404637,34.038616,-14.246029,18.388094
2024-02-22 21:10:00,-7.278734,58.964843,95.656796,20.29648,112.968865,82.93911,13.542801,100.427338,109.661752,34.553354,57.678002,72.233921,58.709275,77.157712,93.414581,-28.645258,68.381548,-19.592129,40.762077,74.148258,42.511594,69.76978,87.528617,7.553147,83.278028,92.055006,79.884736,80.881698,-12.899786,39.12333,43.384869,52.404637,34.030582,-14.246029,18.359437
2024-02-22 21:20:00,-7.278734,58.964843,95.656796,20.304586,112.952571,82.93911,13.518359,100.419269,109.645811,34.561526,57.678002,72.233921,58.709275,77.149719,93.422619,-28.645258,68.369132,-19.592129,40.770125,74.168858,42.487356,69.76978,87.496226,7.561226,83.286121,92.063172,79.892889,80.881698,-12.891663,39.12333,43.364269,52.404637,34.030582,-14.237797,18.359437
2024-02-22 21:30:00,-7.278734,58.972881,95.656796,20.29648,112.977013,82.93911,13.510211,100.427338,109.661752,34.553354,57.686114,72.250359,58.701224,77.157712,93.438695,-28.645258,68.397916,-19.592129,40.770125,74.168858,42.527752,69.777659,87.536715,7.569305,83.294215,92.063172,79.892889,80.88974,-12.891663,39.12333,43.364269,52.404637,34.030582,-14.246029,18.359437
2024-02-22 21:40:00,-7.278734,58.972881,95.656796,20.312692,113.001455,82.947109,13.518359,100.423731,109.685662,34.553354,57.686114,72.270959,58.709275,77.149719,93.454772,-28.637164,68.401869,-19.592129,40.786222,74.184724,42.527752,69.801298,87.544813,7.577385,83.294215,92.063172,79.909196,80.897782,-12.883541,39.131393,43.392922,52.404637,34.030582,-14.246029,18.367494
